link, map
https://gggreplays.com/matches/159814, Blueshift LE
https://gggreplays.com/matches/159806, Acid Plant LE
https://gggreplays.com/matches/159820, Cerulean Fall LE
https://gggreplays.com/matches/159807, Lost and Found LE
https://gggreplays.com/matches/159816, Cerulean Fall LE
https://gggreplays.com/matches/159817, Cerulean Fall LE
https://gggreplays.com/matches/159787, Acid Plant LE
https://gggreplays.com/matches/159783, Cerulean Fall LE
https://gggreplays.com/matches/159781, Lost and Found LE
https://gggreplays.com/matches/159819, Acid Plant LE
https://gggreplays.com/matches/159813, Cerulean Fall LE
https://gggreplays.com/matches/159811, Acid Plant LE
https://gggreplays.com/matches/159818, Blueshift LE
https://gggreplays.com/matches/159812, Para Site LE
https://gggreplays.com/matches/159822, Blueshift LE
https://gggreplays.com/matches/159824, Blueshift LE
https://gggreplays.com/matches/159823, Acid Plant LE
https://gggreplays.com/matches/159529, Acid Plant LE
https://gggreplays.com/matches/159516, Acid Plant LE
https://gggreplays.com/matches/159518, Lost and Found LE
https://gggreplays.com/matches/159647, Acid Plant LE
https://gggreplays.com/matches/159502, Para Site LE
https://gggreplays.com/matches/159650, Cerulean Fall LE
https://gggreplays.com/matches/159493, Fracture LE
https://gggreplays.com/matches/159649, Cerulean Fall LE
https://gggreplays.com/matches/159490, Blueshift LE
https://gggreplays.com/matches/159485, Fracture LE
https://gggreplays.com/matches/159479, Blueshift LE
https://gggreplays.com/matches/159477, Blueshift LE
https://gggreplays.com/matches/159480, Blueshift LE
https://gggreplays.com/matches/159498, Blueshift LE
https://gggreplays.com/matches/159473, Para Site LE
https://gggreplays.com/matches/159497, Blueshift LE
https://gggreplays.com/matches/159495, Lost and Found LE
https://gggreplays.com/matches/159499, Fracture LE
https://gggreplays.com/matches/159182, Blueshift LE
https://gggreplays.com/matches/159201, Acid Plant LE
https://gggreplays.com/matches/159077, Acid Plant LE
https://gggreplays.com/matches/160133, Fracture LE
https://gggreplays.com/matches/160144, Acid Plant LE
https://gggreplays.com/matches/159058, Para Site LE
https://gggreplays.com/matches/160135, Cerulean Fall LE
https://gggreplays.com/matches/160295, Cerulean Fall LE
https://gggreplays.com/matches/160302, Minute Micro Challenges
https://gggreplays.com/matches/159915, Acid Plant LE
https://gggreplays.com/matches/159913, Acid Plant LE
https://gggreplays.com/matches/160145, Dreamcatcher LE
https://gggreplays.com/matches/159039, Blueshift LE
https://gggreplays.com/matches/159914, Blueshift LE
https://gggreplays.com/matches/159036, Dreamcatcher LE
https://gggreplays.com/matches/159919, Fracture LE
https://gggreplays.com/matches/159066, Para Site LE
https://gggreplays.com/matches/159917, Dreamcatcher LE
https://gggreplays.com/matches/159029, Para Site LE
https://gggreplays.com/matches/159028, Acid Plant LE
https://gggreplays.com/matches/159082, Para Site LE
https://gggreplays.com/matches/159923, Fracture LE
https://gggreplays.com/matches/159023, Acid Plant LE
https://gggreplays.com/matches/159024, Para Site LE
https://gggreplays.com/matches/159068, Cerulean Fall LE
https://gggreplays.com/matches/159079, Blueshift LE
https://gggreplays.com/matches/159918, Para Site LE
https://gggreplays.com/matches/159651, Blueshift LE
https://gggreplays.com/matches/159920, Fracture LE
https://gggreplays.com/matches/159652, Fracture LE
https://gggreplays.com/matches/159921, Lost and Found LE
https://gggreplays.com/matches/159927, Para Site LE
https://gggreplays.com/matches/159089, Acid Plant LE
https://gggreplays.com/matches/159080, Para Site LE
https://gggreplays.com/matches/159924, Para Site LE
https://gggreplays.com/matches/159926, Blueshift LE
https://gggreplays.com/matches/159085, Dreamcatcher LE
https://gggreplays.com/matches/159083, Acid Plant LE
https://gggreplays.com/matches/158978, Fracture LE
https://gggreplays.com/matches/159087, Fracture LE
https://gggreplays.com/matches/159928, Para Site LE (Test)
https://gggreplays.com/matches/158976, Lost and Found LE
https://gggreplays.com/matches/159088, Acid Plant LE
https://gggreplays.com/matches/159090, Fracture LE
https://gggreplays.com/matches/159093, Cerulean Fall LE
https://gggreplays.com/matches/158973, Blueshift LE
https://gggreplays.com/matches/159091, Dreamcatcher LE
https://gggreplays.com/matches/158971, Fracture LE
https://gggreplays.com/matches/158970, Fracture LE
https://gggreplays.com/matches/158969, Fracture LE
https://gggreplays.com/matches/159092, Blueshift LE
https://gggreplays.com/matches/158967, Lost and Found LE
https://gggreplays.com/matches/159095, Fracture LE
https://gggreplays.com/matches/158995, Fracture LE
https://gggreplays.com/matches/158966, Fracture LE
https://gggreplays.com/matches/159094, Fracture LE
https://gggreplays.com/matches/158944, Cerulean Fall LE
https://gggreplays.com/matches/158941, Para Site LE
https://gggreplays.com/matches/158939, Blueshift LE
https://gggreplays.com/matches/158933, Fracture LE
https://gggreplays.com/matches/158946, Blueshift LE
https://gggreplays.com/matches/158950, Lost and Found LE
https://gggreplays.com/matches/158920, Blueshift LE
https://gggreplays.com/matches/158916, Acid Plant LE
https://gggreplays.com/matches/158917, Para Site LE
https://gggreplays.com/matches/158812, Blueshift LE
https://gggreplays.com/matches/158808, Blueshift LE
https://gggreplays.com/matches/158811, Blueshift LE
https://gggreplays.com/matches/158796, Lost and Found LE
https://gggreplays.com/matches/158801, Blueshift LE
https://gggreplays.com/matches/158797, Lost and Found LE
https://gggreplays.com/matches/158798, Para Site LE
https://gggreplays.com/matches/158799, Fracture LE
https://gggreplays.com/matches/158784, Acid Plant LE
https://gggreplays.com/matches/158785, Para Site LE
https://gggreplays.com/matches/158779, Dreamcatcher LE
https://gggreplays.com/matches/158778, Dreamcatcher LE
https://gggreplays.com/matches/158768, Acid Plant LE
https://gggreplays.com/matches/158815, Blueshift LE
https://gggreplays.com/matches/158767, Para Site LE
https://gggreplays.com/matches/158814, Lost and Found LE
https://gggreplays.com/matches/158813, Lost and Found LE
https://gggreplays.com/matches/158816, Lost and Found LE
https://gggreplays.com/matches/158763, Acid Plant LE
https://gggreplays.com/matches/158764, Acid Plant LE
https://gggreplays.com/matches/158766, Blueshift LE
https://gggreplays.com/matches/158755, Cerulean Fall LE
https://gggreplays.com/matches/158753, Para Site LE
https://gggreplays.com/matches/158690, Cerulean Fall LE
https://gggreplays.com/matches/158754, New Gettysburg LE
https://gggreplays.com/matches/158720, Lost and Found LE
https://gggreplays.com/matches/158948, Blueshift LE
https://gggreplays.com/matches/158716, Blueshift LE
https://gggreplays.com/matches/158953, Blueshift LE
https://gggreplays.com/matches/158954, Fracture LE
https://gggreplays.com/matches/158722, Para Site LE
https://gggreplays.com/matches/158958, Fracture LE
https://gggreplays.com/matches/158662, Fracture LE
https://gggreplays.com/matches/158663, Fracture LE
https://gggreplays.com/matches/159655, Cerulean Fall LE
https://gggreplays.com/matches/158656, Fracture LE
https://gggreplays.com/matches/159792, Blueshift LE
https://gggreplays.com/matches/159791, Blueshift LE
https://gggreplays.com/matches/158653, Cerulean Fall LE
https://gggreplays.com/matches/158650, Para Site LE
https://gggreplays.com/matches/158648, Blueshift LE
https://gggreplays.com/matches/158645, Fracture LE
https://gggreplays.com/matches/158641, Cerulean Fall LE
https://gggreplays.com/matches/160294, Fracture LE
https://gggreplays.com/matches/158636, Blueshift LE
https://gggreplays.com/matches/160293, Acid Plant LE
https://gggreplays.com/matches/160296, Fracture LE
https://gggreplays.com/matches/158990, Acid Plant LE
https://gggreplays.com/matches/158993, Fracture LE
https://gggreplays.com/matches/160306, Lost and Found LE
https://gggreplays.com/matches/158955, Fracture LE
https://gggreplays.com/matches/158991, Cerulean Fall LE
https://gggreplays.com/matches/158597, Fracture LE
https://gggreplays.com/matches/160299, Acid Plant LE
https://gggreplays.com/matches/158605, Lost and Found LE
https://gggreplays.com/matches/158957, Cerulean Fall LE
https://gggreplays.com/matches/158638, Fracture LE
https://gggreplays.com/matches/158871, Dreamcatcher LE
https://gggreplays.com/matches/158992, Blueshift LE
https://gggreplays.com/matches/158994, Lost and Found LE
https://gggreplays.com/matches/158592, Blueshift LE
https://gggreplays.com/matches/158591, Dreamcatcher LE
https://gggreplays.com/matches/158589, Lost and Found LE
https://gggreplays.com/matches/158960, Cerulean Fall LE
https://gggreplays.com/matches/158961, Lost and Found LE
https://gggreplays.com/matches/158587, Para Site LE
https://gggreplays.com/matches/158585, Lost and Found LE
https://gggreplays.com/matches/158963, Fracture LE
https://gggreplays.com/matches/158583, Cerulean Fall LE
https://gggreplays.com/matches/158579, Fracture LE
https://gggreplays.com/matches/158578, Cerulean Fall LE
https://gggreplays.com/matches/158553, Blueshift LE
https://gggreplays.com/matches/158541, Blueshift LE
https://gggreplays.com/matches/159656, Fracture LE
https://gggreplays.com/matches/158537, Fracture LE
https://gggreplays.com/matches/158539, Cerulean Fall LE
https://gggreplays.com/matches/158540, Acid Plant LE
https://gggreplays.com/matches/158532, Lost and Found LE
https://gggreplays.com/matches/159657, Blueshift LE
https://gggreplays.com/matches/159658, Fracture LE
https://gggreplays.com/matches/158528, Blueshift LE
https://gggreplays.com/matches/159659, Cerulean Fall LE
https://gggreplays.com/matches/159660, Lost and Found LE
https://gggreplays.com/matches/158517, Fracture LE
https://gggreplays.com/matches/159661, Acid Plant LE
https://gggreplays.com/matches/159662, Acid Plant LE
https://gggreplays.com/matches/159097, Cerulean Fall LE
https://gggreplays.com/matches/158510, Lost and Found LE
https://gggreplays.com/matches/158770, Para Site LE
https://gggreplays.com/matches/158505, Cerulean Fall LE
https://gggreplays.com/matches/159096, Dreamcatcher LE
https://gggreplays.com/matches/158506, Cerulean Fall LE
https://gggreplays.com/matches/158504, Cerulean Fall LE
https://gggreplays.com/matches/158827, Fracture LE
https://gggreplays.com/matches/158499, Fracture LE
https://gggreplays.com/matches/158494, Dreamcatcher LE
https://gggreplays.com/matches/158492, Acid Plant LE
https://gggreplays.com/matches/158485, Dreamcatcher LE
https://gggreplays.com/matches/158490, Dreamcatcher LE
https://gggreplays.com/matches/158489, Para Site LE
https://gggreplays.com/matches/158482, Dreamcatcher LE
https://gggreplays.com/matches/160140, Lost and Found LE
https://gggreplays.com/matches/158828, Dreamcatcher LE
https://gggreplays.com/matches/158477, Acid Plant LE
https://gggreplays.com/matches/158511, Dreamcatcher LE
https://gggreplays.com/matches/158473, Blueshift LE
https://gggreplays.com/matches/158469, Acid Plant LE
https://gggreplays.com/matches/158498, Dreamcatcher LE (Test)
https://gggreplays.com/matches/158456, Fracture LE
https://gggreplays.com/matches/158454, Lost and Found LE
https://gggreplays.com/matches/159562, Dreamcatcher LE
https://gggreplays.com/matches/158450, Blueshift LE
https://gggreplays.com/matches/159555, Dreamcatcher LE
https://gggreplays.com/matches/158449, Blueshift LE
https://gggreplays.com/matches/159554, Blueshift LE
https://gggreplays.com/matches/159560, Para Site LE
https://gggreplays.com/matches/159553, Lost and Found LE
https://gggreplays.com/matches/159557, Blueshift LE
https://gggreplays.com/matches/158438, Lost and Found LE
https://gggreplays.com/matches/159558, Dreamcatcher LE
https://gggreplays.com/matches/158435, Dreamcatcher LE
https://gggreplays.com/matches/158433, Blueshift LE
https://gggreplays.com/matches/159556, Cerulean Fall LE
https://gggreplays.com/matches/159559, Cerulean Fall LE
https://gggreplays.com/matches/158432, Cerulean Fall LE
https://gggreplays.com/matches/159563, Cerulean Fall LE
https://gggreplays.com/matches/159564, Para Site LE
https://gggreplays.com/matches/158411, Blueshift LE
https://gggreplays.com/matches/159664, Cerulean Fall LE
https://gggreplays.com/matches/158412, Fracture LE
https://gggreplays.com/matches/158403, Cerulean Fall LE
https://gggreplays.com/matches/159666, Cerulean Fall LE
https://gggreplays.com/matches/159098, Dreamcatcher LE
https://gggreplays.com/matches/158413, Lost and Found LE
https://gggreplays.com/matches/159665, Cerulean Fall LE
https://gggreplays.com/matches/159099, Cerulean Fall LE
https://gggreplays.com/matches/159667, Para Site LE
https://gggreplays.com/matches/159668, Para Site LE
https://gggreplays.com/matches/158772, Dreamcatcher LE
https://gggreplays.com/matches/159108, Cerulean Fall LE
https://gggreplays.com/matches/159101, Dreamcatcher LE
https://gggreplays.com/matches/159132, Lost and Found LE
https://gggreplays.com/matches/159669, Cerulean Fall LE
https://gggreplays.com/matches/158369, Acid Plant LE
https://gggreplays.com/matches/159670, Acid Plant LE
https://gggreplays.com/matches/158371, Blueshift LE
https://gggreplays.com/matches/158372, Cerulean Fall LE
https://gggreplays.com/matches/158351, Blueshift LE
https://gggreplays.com/matches/158349, Para Site LE
https://gggreplays.com/matches/158348, Cerulean Fall LE
https://gggreplays.com/matches/158346, Blueshift LE
https://gggreplays.com/matches/158345, Lost and Found LE
https://gggreplays.com/matches/158344, Cerulean Fall LE
https://gggreplays.com/matches/158347, Cerulean Fall LE
https://gggreplays.com/matches/158342, Dreamcatcher LE
https://gggreplays.com/matches/159671, Acid Plant LE
https://gggreplays.com/matches/159672, Lost and Found LE
https://gggreplays.com/matches/159673, Fracture LE
https://gggreplays.com/matches/159674, Para Site LE
https://gggreplays.com/matches/158322, Blueshift LE
https://gggreplays.com/matches/158310, Cerulean Fall LE
https://gggreplays.com/matches/159675, Para Site LE
https://gggreplays.com/matches/158292, Lost and Found LE
https://gggreplays.com/matches/158291, Acid Plant LE
https://gggreplays.com/matches/158431, Acid Plant LE
https://gggreplays.com/matches/158286, Para Site LE
https://gggreplays.com/matches/158284, Blueshift LE
https://gggreplays.com/matches/160297, Cerulean Fall LE
https://gggreplays.com/matches/160298, Lost and Found LE
https://gggreplays.com/matches/158281, Dreamcatcher LE
https://gggreplays.com/matches/158277, Lost and Found LE
https://gggreplays.com/matches/160301, Lost and Found LE
https://gggreplays.com/matches/160141, Acid Plant LE
https://gggreplays.com/matches/158315, Cerulean Fall LE
https://gggreplays.com/matches/160143, Dreamcatcher LE
https://gggreplays.com/matches/158301, Fracture LE
https://gggreplays.com/matches/158350, Fracture LE
https://gggreplays.com/matches/160142, Dreamcatcher LE
https://gggreplays.com/matches/160303, Fracture LE
https://gggreplays.com/matches/158211, Cerulean Fall LE
https://gggreplays.com/matches/158208, Dreamcatcher LE
https://gggreplays.com/matches/160147, Cerulean Fall LE
