link, map
https://gggreplays.com/matches/157922, Lost and Found LE
https://gggreplays.com/matches/157907, Para Site LE
https://gggreplays.com/matches/157903, Lost and Found LE
https://gggreplays.com/matches/157902, Blueshift LE
https://gggreplays.com/matches/157892, Lost and Found LE
https://gggreplays.com/matches/157888, Blueshift LE
https://gggreplays.com/matches/157887, Para Site LE
https://gggreplays.com/matches/157878, Lost and Found LE
https://gggreplays.com/matches/157874, Dreamcatcher LE
https://gggreplays.com/matches/157873, Lost and Found LE
https://gggreplays.com/matches/157860, Blueshift LE
https://gggreplays.com/matches/157854, Cerulean Fall LE
https://gggreplays.com/matches/157849, Acid Plant LE
https://gggreplays.com/matches/157836, Lost and Found LE
https://gggreplays.com/matches/157829, Lost and Found LE
https://gggreplays.com/matches/157800, Acid Plant LE
https://gggreplays.com/matches/157785, Blueshift LE
https://gggreplays.com/matches/157783, Blueshift LE
https://gggreplays.com/matches/157777, Fracture LE
https://gggreplays.com/matches/157685, Blueshift LE
https://gggreplays.com/matches/157665, Cerulean Fall LE
https://gggreplays.com/matches/157658, Lost and Found LE
https://gggreplays.com/matches/157450, Lost and Found LE
https://gggreplays.com/matches/157446, Para Site LE
https://gggreplays.com/matches/157444, Lost and Found LE
https://gggreplays.com/matches/157435, Lost and Found LE
https://gggreplays.com/matches/157430, Cerulean Fall LE
https://gggreplays.com/matches/157424, Fracture LE
https://gggreplays.com/matches/157421, Acid Plant LE
https://gggreplays.com/matches/157413, Fracture LE
https://gggreplays.com/matches/157411, Para Site LE
https://gggreplays.com/matches/157410, Acid Plant LE
https://gggreplays.com/matches/157409, Para Site LE
https://gggreplays.com/matches/157404, Cerulean Fall LE
https://gggreplays.com/matches/157403, Cerulean Fall LE
https://gggreplays.com/matches/157402, Cerulean Fall LE
https://gggreplays.com/matches/157401, Para Site LE
https://gggreplays.com/matches/157400, Blueshift LE
https://gggreplays.com/matches/157345, Lost and Found LE
https://gggreplays.com/matches/157277, Blueshift LE
https://gggreplays.com/matches/157275, Cerulean Fall LE
https://gggreplays.com/matches/157215, Dreamcatcher LE
https://gggreplays.com/matches/157169, Fracture LE
https://gggreplays.com/matches/157166, Dreamcatcher LE
https://gggreplays.com/matches/157239, Acid Plant LE
https://gggreplays.com/matches/157372, Blueshift LE
https://gggreplays.com/matches/157122, Lost and Found LE
https://gggreplays.com/matches/157127, Lost and Found LE
https://gggreplays.com/matches/157117, Fracture LE
https://gggreplays.com/matches/157118, Fracture LE
https://gggreplays.com/matches/157091, Blueshift LE
https://gggreplays.com/matches/157008, Lost and Found LE
https://gggreplays.com/matches/157006, Blueshift LE
https://gggreplays.com/matches/157004, Para Site LE
https://gggreplays.com/matches/157002, Para Site LE
